,hhid,clust,province,district,ur,pid,s10aq1,s10aq2,s10aq3,s10aq4,s10aq6,s10aq7,s10aq8,s10aq9,strata_id,weight,quintile,pov_jan,poverty,epov_jan
0,300001.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,Yes,Insuffivient income,Yes,1.0,Borrowed from relative,Business expansion,None,"Yes, part",111,170.95819504509035,Upper,Non Poor,Non Poor,Non Extreme Poor
1,300002.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,No,,Yes,1.0,Mokash,Purchase of household items,None,"Yes, part",111,170.95819504509035,Upper,Non Poor,Non Poor,Non Extreme Poor
2,300002.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,No,,Yes,2.0,Borrowed from relative,Food purchase,None,"Yes, all",111,170.95819504509035,Upper,Non Poor,Non Poor,Non Extreme Poor
3,300003.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,No,,Yes,1.0,Borrowed from relative,Food purchase,None,"Yes, all",111,170.95819504509035,Upper,Non Poor,Non Poor,Non Extreme Poor
4,300004.0,10001.0,City of Kigali,Nyarugenge,Urban,,No,,No,,,,,,111,170.95819504509035,Upper,Non Poor,Non Poor,Non Extreme Poor
5,300005.0,10001.0,City of Kigali,Nyarugenge,Urban,,No,,No,,,,,,111,170.95819504509035,Mid,Non Poor,Non Poor,Non Extreme Poor
6,300006.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,Yes,Insufficient collateral,Yes,1.0,SACCOs,Education,House,"Yes, part",111,170.95819504509035,Mid/upper,Non Poor,Non Poor,Non Extreme Poor
7,300007.0,10001.0,City of Kigali,Nyarugenge,Urban,,No,,No,,,,,,111,170.95819504509035,Upper,Non Poor,Non Poor,Non Extreme Poor
8,300008.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,No,,Yes,1.0,Tontine (community),Business expansion,None,No,111,170.95819504509035,Mid/upper,Non Poor,Non Poor,Non Extreme Poor
9,300008.0,10001.0,City of Kigali,Nyarugenge,Urban,1.0,No,,Yes,2.0,Commercial Bank,Business expansion,None,No,111,170.95819504509035,Mid/upper,Non Poor,Non Poor,Non Extreme Poor
